created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-08-23 00:48:10 UTC,667,106.00,203.63,220.54,3.00,-36.00,84.00,48.00,134.88
2020-08-23 00:50:14 UTC,668,103.72,198.09,216.88,5.00,-36.00,85.00,47.00,131.26
2020-08-23 00:52:10 UTC,669,103.67,194.00,208.06,7.00,-37.00,86.00,45.00,128.67
2020-08-23 01:02:16 UTC,670,33.86,63.53,65.53,1.00,-65.00,79.00,41.00,46.88
2020-08-23 01:04:16 UTC,671,31.76,57.98,60.82,3.00,-66.00,77.00,43.00,44.42
2020-08-23 01:06:16 UTC,672,29.86,53.89,56.89,5.00,-65.00,77.00,44.00,42.89
2020-08-23 01:08:16 UTC,673,28.13,48.93,51.24,7.00,-65.00,75.00,44.00,40.54
2020-08-23 01:10:16 UTC,674,28.95,53.20,55.67,9.00,-67.00,75.00,47.00,42.55
2020-08-23 01:12:16 UTC,675,27.60,52.62,55.45,11.00,-66.00,75.00,46.00,42.25
2020-08-23 01:14:17 UTC,676,27.46,51.32,54.45,13.00,-68.00,73.00,48.00,41.64
2020-08-23 01:16:16 UTC,677,25.35,48.22,51.95,15.00,-65.00,72.00,50.00,40.07
2020-08-23 01:18:17 UTC,678,21.35,39.54,42.07,17.00,-66.00,72.00,50.00,35.40
2020-08-23 01:20:16 UTC,679,19.36,34.81,36.91,19.00,-66.00,71.00,52.00,32.58
2020-08-23 01:22:16 UTC,680,18.19,34.02,35.30,21.00,-65.00,70.00,52.00,32.05
2020-08-23 01:24:16 UTC,681,18.66,33.23,34.34,23.00,-66.00,69.00,53.00,31.55
2020-08-23 01:26:16 UTC,682,17.84,31.72,33.69,25.00,-67.00,70.00,54.00,30.59
2020-08-23 01:28:16 UTC,683,16.22,28.64,30.38,27.00,-67.00,70.00,54.00,28.38
2020-08-23 01:30:16 UTC,684,16.69,29.24,30.78,29.00,-63.00,69.00,55.00,28.80
2020-08-23 01:32:16 UTC,685,15.41,26.98,28.21,31.00,-71.00,69.00,57.00,26.84
2020-08-23 01:34:16 UTC,686,15.77,28.58,30.53,33.00,-66.00,69.00,56.00,28.28
2020-08-23 01:36:16 UTC,687,14.16,26.39,27.32,35.00,-71.00,70.00,55.00,26.29
2020-08-23 01:38:16 UTC,688,13.80,25.21,26.21,37.00,-70.00,69.00,55.00,25.21
2020-08-23 01:40:16 UTC,689,12.88,23.63,24.39,39.00,-69.00,70.00,55.00,23.63
2020-08-23 01:42:16 UTC,690,13.43,23.50,24.95,41.00,-66.00,70.00,55.00,23.50
2020-08-23 01:44:16 UTC,691,11.38,21.46,22.32,43.00,-60.00,70.00,55.00,21.46
2020-08-23 01:46:16 UTC,692,12.93,21.93,23.07,45.00,-61.00,69.00,56.00,21.93
2020-08-23 01:48:16 UTC,693,12.00,20.92,21.80,47.00,-59.00,69.00,56.00,20.92
2020-08-23 01:50:16 UTC,694,10.34,18.17,19.24,49.00,-62.00,69.00,56.00,18.17
2020-08-23 01:52:17 UTC,695,9.70,16.51,16.72,51.00,-60.00,69.00,56.00,16.51
2020-08-23 01:54:16 UTC,696,9.67,17.15,17.58,53.00,-60.00,68.00,57.00,17.15
2020-08-23 01:56:16 UTC,697,9.69,16.72,17.53,55.00,-60.00,69.00,56.00,16.72
2020-08-23 01:58:16 UTC,698,8.54,15.29,15.76,57.00,-58.00,68.00,57.00,15.29
2020-08-23 02:01:00 UTC,699,8.55,15.14,15.82,1.00,-88.00,68.00,58.00,15.14
2020-08-23 02:03:01 UTC,700,9.26,16.95,17.61,3.00,-88.00,68.00,58.00,16.95
2020-08-23 02:05:00 UTC,701,8.52,14.97,15.79,5.00,-85.00,68.00,58.00,14.97
2020-08-23 02:07:01 UTC,702,7.40,13.28,13.95,7.00,-87.00,68.00,58.00,13.28
2020-08-23 02:09:00 UTC,703,8.26,15.00,15.88,9.00,-84.00,68.00,58.00,15.00
2020-08-23 02:11:00 UTC,704,8.96,15.54,16.82,11.00,-85.00,68.00,58.00,15.54
2020-08-23 02:13:00 UTC,705,8.17,14.21,15.12,13.00,-85.00,67.00,59.00,14.21
2020-08-23 02:15:00 UTC,706,7.86,14.54,15.29,15.00,-88.00,68.00,59.00,14.54
2020-08-23 02:17:00 UTC,707,8.31,15.00,15.76,17.00,-87.00,67.00,59.00,15.00
2020-08-23 02:19:00 UTC,708,8.44,13.84,14.58,19.00,-88.00,67.00,59.00,13.84
2020-08-23 02:21:00 UTC,709,8.11,15.30,15.74,21.00,-89.00,67.00,60.00,15.30
2020-08-23 02:23:00 UTC,710,7.52,13.68,14.46,23.00,-88.00,67.00,60.00,13.68
2020-08-23 02:25:00 UTC,711,7.87,14.10,15.92,25.00,-83.00,67.00,60.00,14.10
2020-08-23 02:27:00 UTC,712,7.64,13.42,14.11,27.00,-85.00,67.00,60.00,13.42
2020-08-23 02:29:00 UTC,713,6.93,12.52,13.00,29.00,-86.00,67.00,60.00,12.52
2020-08-23 02:31:00 UTC,714,6.62,13.05,13.81,31.00,-86.00,67.00,60.00,13.05
2020-08-23 02:33:00 UTC,715,6.78,12.10,13.03,33.00,-83.00,67.00,61.00,12.10
2020-08-23 02:35:00 UTC,716,7.14,13.93,14.62,35.00,-84.00,66.00,61.00,13.93
2020-08-23 02:37:00 UTC,717,6.77,13.80,14.95,37.00,-83.00,67.00,61.00,13.80
2020-08-23 02:39:00 UTC,718,7.40,13.17,14.73,39.00,-84.00,66.00,61.00,13.17
2020-08-23 02:41:00 UTC,719,7.03,13.54,14.54,41.00,-84.00,66.00,62.00,13.54
2020-08-23 02:43:00 UTC,720,7.84,13.75,15.04,43.00,-85.00,66.00,61.00,13.75
2020-08-23 02:45:00 UTC,721,7.43,14.82,15.61,45.00,-87.00,67.00,61.00,14.82
2020-08-23 02:47:00 UTC,722,6.61,13.00,14.42,47.00,-88.00,67.00,61.00,13.00
2020-08-23 02:49:00 UTC,723,8.05,15.74,16.17,49.00,-87.00,65.00,62.00,15.74
2020-08-23 02:51:00 UTC,724,8.67,14.34,15.07,51.00,-87.00,66.00,63.00,14.34
2020-08-23 02:53:00 UTC,725,8.24,14.28,15.44,53.00,-87.00,66.00,62.00,14.28
2020-08-23 02:55:00 UTC,726,8.65,15.72,16.28,55.00,-83.00,64.00,63.00,15.72
2020-08-23 02:57:00 UTC,727,8.45,14.66,15.02,57.00,-84.00,64.00,63.00,14.66
2020-08-23 02:59:00 UTC,728,8.47,14.36,14.81,59.00,-84.00,66.00,62.00,14.36
2020-08-23 03:01:01 UTC,729,7.75,14.53,15.25,61.00,-82.00,66.00,62.00,14.53
2020-08-23 03:03:00 UTC,730,8.48,15.30,15.84,63.00,-87.00,64.00,62.00,15.30
2020-08-23 03:05:00 UTC,731,8.72,16.19,16.67,65.00,-84.00,64.00,65.00,16.19
2020-08-23 03:08:59 UTC,732,7.68,14.39,16.02,1.00,-61.00,64.00,64.00,14.39
2020-08-23 03:10:59 UTC,733,8.31,15.25,15.98,3.00,-66.00,64.00,65.00,15.25
2020-08-23 03:12:59 UTC,734,8.46,15.47,15.85,5.00,-61.00,64.00,65.00,15.47
2020-08-23 03:14:59 UTC,735,8.51,15.29,16.54,7.00,-60.00,64.00,66.00,15.29
2020-08-23 03:16:59 UTC,736,8.32,15.59,17.00,9.00,-60.00,64.00,66.00,15.59
2020-08-23 03:18:59 UTC,737,9.09,16.31,16.89,11.00,-60.00,63.00,66.00,16.31
2020-08-23 03:20:59 UTC,738,8.21,15.34,16.36,13.00,-62.00,64.00,66.00,15.34
2020-08-23 03:22:59 UTC,739,8.97,16.60,17.91,15.00,-60.00,63.00,67.00,16.60
2020-08-23 03:24:59 UTC,740,8.84,16.89,17.68,17.00,-59.00,63.00,68.00,16.89
2020-08-23 03:26:59 UTC,741,8.77,14.84,15.30,19.00,-62.00,63.00,68.00,14.84
2020-08-23 03:28:59 UTC,742,9.07,17.04,17.75,21.00,-60.00,62.00,68.00,17.04
2020-08-23 03:30:59 UTC,743,8.46,15.44,16.33,23.00,-62.00,63.00,69.00,15.44
2020-08-23 03:32:59 UTC,744,8.00,15.43,16.05,25.00,-61.00,63.00,68.00,15.43
2020-08-23 03:34:59 UTC,745,8.68,14.43,15.50,27.00,-62.00,63.00,68.00,14.43
2020-08-23 03:36:59 UTC,746,8.59,15.59,16.32,29.00,-62.00,63.00,69.00,15.59
2020-08-23 03:38:59 UTC,747,8.12,14.98,16.02,31.00,-62.00,62.00,69.00,14.98
2020-08-23 03:40:59 UTC,748,8.16,16.11,17.11,33.00,-62.00,63.00,69.00,16.11
2020-08-23 03:42:59 UTC,749,8.62,15.93,16.75,35.00,-62.00,62.00,69.00,15.93
2020-08-23 03:44:59 UTC,750,8.07,14.71,16.05,37.00,-62.00,63.00,69.00,14.71
2020-08-23 03:46:59 UTC,751,8.47,15.57,17.53,39.00,-63.00,63.00,69.00,15.57
2020-08-23 03:48:59 UTC,752,8.26,15.40,16.55,41.00,-62.00,64.00,68.00,15.40
2020-08-23 03:50:59 UTC,753,8.36,15.36,16.23,43.00,-63.00,64.00,67.00,15.36
2020-08-23 03:52:59 UTC,754,7.38,14.93,15.20,45.00,-63.00,64.00,66.00,14.93
2020-08-23 03:54:59 UTC,755,7.59,14.00,14.47,47.00,-63.00,64.00,66.00,14.00
